Distance 8942.25 m, after 474 s.
Distance 8814.4 m, after 475 s.
Distance 8686.61 m, after 476 s.
Distance 8558.86 m, after 477 s.
Distance 8431.17 m, after 478 s.
Distance 8303.54 m, after 479 s.
Distance 8175.97 m, after 480 s.
Distance 8048.46 m, after 481 s.
Distance 7921.01 m, after 482 s.
Distance 7793.64 m, after 483 s.
Distance 7666.33 m, after 484 s.
Distance 7539.11 m, after 485 s.
Distance 7411.96 m, after 486 s.
Distance 7284.9 m, after 487 s.
Distance 7157.93 m, after 488 s.
Distance 7031.05 m, after 489 s.
Distance 6904.27 m, after 490 s.
Distance 6777.6 m, after 491 s.
Distance 6651.04 m, after 492 s.
Distance 6524.6 m, after 493 s.
Distance 6398.28 m, after 494 s.
Distance 6272.1 m, after 495 s.
Distance 6146.06 m, after 496 s.
Distance 6020.17 m, after 497 s.
Distance 5894.44 m, after 498 s.
Distance 5768.89 m, after 499 s.
Distance 5643.52 m, after 500 s.
Distance 5518.35 m, after 501 s.
Distance 5393.39 m, after 502 s.
Distance 5268.65 m, after 503 s.
Distance 5144.16 m, after 504 s.
Distance 5019.94 m, after 505 s.
Distance 4896 m, after 506 s.
Distance 4772.36 m, after 507 s.
Distance 4649.05 m, after 508 s.
Distance 4526.1 m, after 509 s.
Distance 4403.54 m, after 510 s.
Distance 4281.4 m, after 511 s.
Distance 4159.72 m, after 512 s.
Distance 4038.55 m, after 513 s.
Distance 3917.92 m, after 514 s.
Distance 3797.89 m, after 515 s.
Distance 3678.52 m, after 516 s.
Distance 3559.88 m, after 517 s.
Distance 3442.05 m, after 518 s.
Distance 3325.1 m, after 519 s.
Distance 3209.14 m, after 520 s.
Distance 3094.28 m, after 521 s.
Distance 2980.64 m, after 522 s.
Distance 2868.37 m, after 523 s.
Distance 2757.64 m, after 524 s.
Distance 2648.64 m, after 525 s.
Distance 2541.6 m, after 526 s.
Distance 2436.77 m, after 527 s.
Distance 2334.44 m, after 528 s.
Distance 2234.97 m, after 529 s.
Distance 2138.76 m, after 530 s.
Distance 2046.25 m, after 531 s.
Distance 1957.98 m, after 532 s.
Distance 1874.54 m, after 533 s.
Distance 1796.61 m, after 534 s.
Distance 1724.93 m, after 535 s.
Distance 1660.31 m, after 536 s.
Distance 1603.6 m, after 537 s.
Distance 1555.68 m, after 538 s.
Distance 1517.36 m, after 539 s.
Distance 1489.39 m, after 540 s.
Distance 1472.35 m, after 541 s.
Distance 1466.63 m, after 542 s.
Distance 92848.56 m, after 1 s.
Distance 92233.29 m, after 2 s.
Distance 91958.28 m, after 3 s.
Distance 91683.94 m, after 4 s.
Distance 91410.25 m, after 5 s.
Distance 91137.23 m, after 6 s.
Distance 90864.88 m, after 7 s.
Distance 90593.18 m, after 8 s.
Distance 90322.14 m, after 9 s.
Distance 90051.77 m, after 10 s.
Distance 89782.06 m, after 11 s.
Distance 89513 m, after 12 s.
Distance 89244.61 m, after 13 s.
Distance 88976.88 m, after 14 s.
Distance 88709.81 m, after 15 s.
Distance 88443.4 m, after 16 s.
Distance 88177.65 m, after 17 s.
Distance 87912.56 m, after 18 s.
Distance 87648.12 m, after 19 s.
Distance 87384.35 m, after 20 s.
Distance 87121.24 m, after 21 s.
Distance 86858.78 m, after 22 s.
Distance 86596.98 m, after 23 s.
Distance 86335.84 m, after 24 s.
Distance 86075.36 m, after 25 s.
Distance 85815.53 m, after 26 s.
Distance 85556.36 m, after 27 s.
Distance 85297.85 m, after 28 s.
Distance 85039.99 m, after 29 s.
Distance 84782.79 m, after 30 s.
Distance 84526.25 m, after 31 s.
Distance 84270.36 m, after 32 s.
Distance 84015.12 m, after 33 s.
Distance 83760.54 m, after 34 s.
Distance 83506.61 m, after 35 s.
Distance 83253.34 m, after 36 s.
Distance 83000.72 m, after 37 s.
Distance 82748.75 m, after 38 s.
Distance 82497.43 m, after 39 s.
Distance 82246.77 m, after 40 s.
Distance 81996.75 m, after 41 s.
Distance 81747.39 m, after 42 s.
Distance 81498.67 m, after 43 s.
Distance 81250.61 m, after 44 s.
Distance 81003.19 m, after 45 s.
Distance 80756.43 m, after 46 s.
Distance 80510.31 m, after 47 s.
Distance 80264.84 m, after 48 s.
Distance 80020.02 m, after 49 s.
Distance 79775.84 m, after 50 s.
Distance 79532.31 m, after 51 s.
Distance 79289.42 m, after 52 s.
Distance 79047.18 m, after 53 s.
Distance 78805.58 m, after 54 s.
Distance 78564.63 m, after 55 s.
Distance 78324.32 m, after 56 s.
Distance 78084.65 m, after 57 s.
Distance 77845.62 m, after 58 s.
Distance 77607.23 m, after 59 s.
Distance 77369.49 m, after 60 s.
Distance 77132.38 m, after 61 s.
Distance 76895.91 m, after 62 s.
Distance 76660.08 m, after 63 s.
Distance 76424.89 m, after 64 s.
Distance 76190.33 m, after 65 s.
Distance 75956.41 m, after 66 s.
Distance 75723.13 m, after 67 s.
Distance 75490.48 m, after 68 s.
Distance 75258.46 m, after 69 s.
Distance 75027.08 m, after 70 s.
Distance 74796.33 m, after 71 s.
Distance 74566.21 m, after 72 s.
