Distance 45342.03 m, after 342 s.
Distance 45148.75 m, after 343 s.
Distance 44955.64 m, after 344 s.
Distance 44762.67 m, after 345 s.
Distance 44569.84 m, after 346 s.
Distance 44377.16 m, after 347 s.
Distance 44184.62 m, after 348 s.
Distance 43992.22 m, after 349 s.
Distance 43799.95 m, after 350 s.
Distance 43607.82 m, after 351 s.
Distance 43415.81 m, after 352 s.
Distance 43223.94 m, after 353 s.
Distance 43032.18 m, after 354 s.
Distance 42840.55 m, after 355 s.
Distance 42649.03 m, after 356 s.
Distance 42457.63 m, after 357 s.
Distance 42266.34 m, after 358 s.
Distance 42075.16 m, after 359 s.
Distance 41884.09 m, after 360 s.
Distance 41693.13 m, after 361 s.
Distance 41502.26 m, after 362 s.
Distance 41311.49 m, after 363 s.
Distance 41120.83 m, after 364 s.
Distance 40930.25 m, after 365 s.
Distance 40739.76 m, after 366 s.
Distance 40549.37 m, after 367 s.
Distance 40359.06 m, after 368 s.
Distance 40168.83 m, after 369 s.
Distance 39978.69 m, after 370 s.
Distance 39788.62 m, after 371 s.
Distance 39598.63 m, after 372 s.
Distance 39408.71 m, after 373 s.
Distance 39218.86 m, after 374 s.
Distance 39029.08 m, after 375 s.
Distance 38839.37 m, after 376 s.
Distance 38649.72 m, after 377 s.
Distance 38460.13 m, after 378 s.
Distance 38270.6 m, after 379 s.
Distance 38081.12 m, after 380 s.
Distance 37891.7 m, after 381 s.
Distance 37702.33 m, after 382 s.
Distance 37513.01 m, after 383 s.
Distance 37323.74 m, after 384 s.
Distance 37134.51 m, after 385 s.
Distance 36945.33 m, after 386 s.
Distance 36756.18 m, after 387 s.
Distance 36567.07 m, after 388 s.
Distance 36378 m, after 389 s.
Distance 36188.96 m, after 390 s.
Distance 35999.95 m, after 391 s.
Distance 35810.98 m, after 392 s.
Distance 35622.02 m, after 393 s.
Distance 35433.1 m, after 394 s.
Distance 35244.19 m, after 395 s.
Distance 35055.31 m, after 396 s.
Distance 34866.44 m, after 397 s.
Distance 34677.6 m, after 398 s.
Distance 34488.76 m, after 399 s.
Distance 34299.94 m, after 400 s.
Distance 34111.13 m, after 401 s.
Distance 33922.33 m, after 402 s.
Distance 33733.54 m, after 403 s.
Distance 33544.75 m, after 404 s.
Distance 33355.96 m, after 405 s.
Distance 33167.18 m, after 406 s.
Distance 32978.39 m, after 407 s.
Distance 32789.6 m, after 408 s.
Distance 32600.81 m, after 409 s.
Distance 32412.01 m, after 410 s.
Distance 32223.21 m, after 411 s.
Distance 32034.39 m, after 412 s.
Distance 31845.56 m, after 413 s.
Distance 31656.72 m, after 414 s.
Distance 31467.87 m, after 415 s.
Distance 31279 m, after 416 s.
Distance 31090.11 m, after 417 s.
Distance 30901.2 m, after 418 s.
Distance 30712.28 m, after 419 s.
Distance 30523.32 m, after 420 s.
Distance 30334.35 m, after 421 s.
